Receita 2;Presentes;5971.17;2024-01-10
Receita 3;Freelance;1902.2;2024-01-19
Receita 4;Freelance;5462.09;2024-01-28
Receita 5;Salario;4785.37;2024-02-06
Receita 6;Presentes;383.91;2024-02-15
Receita 7;Salario;1976.39;2024-02-24
Receita 8;Reembolso;4555.77;2024-03-04
Receita 9;Vendas;1880.46;2024-03-13
Receita 10;Salario;6504.03;2024-03-22
Receita 11;Investimentos;6106.64;2024-03-31
Receita 12;Outras receitas;5630.39;2024-04-09
Receita 13;Presentes;2331.29;2024-04-18
Receita 14;Outras receitas;7664.12;2024-04-27
Receita 15;Reembolso;952.35;2024-05-06
Receita 16;Outras receitas;909.22;2024-05-15
Receita 17;Salario;4889.25;2024-05-24
Receita 18;Freelance;5878.39;2024-06-02
Receita 19;Reembolso;7788.96;2024-06-11
Receita 20;Vendas;768.58;2024-06-20
Receita 21;Outras receitas;6660.83;2024-06-29
Receita 22;Freelance;4682.21;2024-07-08
Receita 23;Presentes;509.72;2024-07-17
Receita 24;Freelance;6218.59;2024-07-26
Receita 25;Freelance;6864.24;2024-08-04
Receita 26;Aluguel;3133.99;2024-08-13
Receita 27;Outras receitas;5140.12;2024-08-22
Receita 28;Outras receitas;1426.83;2024-08-31
Receita 29;Vendas;1794.63;2024-09-09
Receita 30;Freelance;5659.29;2024-09-18
QeuiB===D jo;Comida;12.78;2026-06-22
